"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-14","4.70","0.00","0.0",,"82","58","  220",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-15","4.92","0.00","0.0","0.0","78","60","   10",,"12.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-16","7.83","0.00","0.0","0.0","75","59","   80",,"12.1",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-17","4.92","0.00","0.0","0.0","77","60","  210",,"6.9",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-18","7.38","0.00","0.0","0.0","80","62","  210","  230","16.1","21.0","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-19","6.71","0.00","0.0","0.0","81","59","  210","  200","18.1","21.0",,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-20","7.61","0.00","0.0","0.0","82","62","  190","  190","15.0","21.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-21","6.71","0.00","0.0","0.0","75","56","  330",,"12.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-22","6.26","0.28","0.0","0.0","63","50","   20",,"13.0",,"    1",,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-23","5.59","0.39","0.0","0.0","73","59","  170",,"10.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-24","10.07","0.07",,"0.0",,,"  210","  210","16.1","25.1","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-25","8.05","0.25","0.0","0.0","81","59","  270","  230","14.1","32.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-26","6.71","0.00","0.0","0.0","83","56","  210",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-27","6.71","0.00","0.0","0.0","82","60","  230",,"13.0",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-28","10.74","0.00","0.0","0.0","84","65","  220","  220","17.0","19.9","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-29","8.05","0.00","0.0","0.0","80","64","  300","  220","13.0","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-30","5.82","0.00","0.0","0.0","77","55","  350","   30","12.1","19.9",,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-03-31","10.96","0.18","0.0","0.0","70","47","  320","  290","21.0","31.1","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-01","9.40","0.00","0.0","0.0","66","42","  330","  350","17.0","27.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-02","5.59","0.00","0.0","0.0","71","41","   40",,"10.1",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-03","5.59","0.00","0.0","0.0","78","47","   20",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-04","3.13","0.00","0.0","0.0","81","56","  230",,"6.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-05","3.58","0.00","0.0","0.0","80","62","  180",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-06","3.36","0.00","0.0","0.0","82","58","  170",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-07","4.70","0.11","0.0","0.0","73","62","  190",,"6.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-08","6.04","1.01","0.0","0.0","81","62","  260",,"10.1",,"    1","    1","    1","    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-09","7.61","0.01","0.0","0.0","81","61","  340","  340","16.1","19.9","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-10","9.84","0.00",,"0.0","65","46","  350","  350","18.1","31.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-11","7.38","0.00","0.0","0.0","72","43","  190",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-12","12.30","0.09","0.0","0.0","77","54","  180","  180","29.1","42.9","    1",,"    1","    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-13","8.95","0.02","0.0","0.0","75","54","  210","  280","18.1","30.0",,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-14","7.61","0.00","0.0","0.0","73","49","  300",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-15","10.74","0.00","0.0","0.0","64","43","  330","   10","16.1","25.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-16","7.38","0.00","0.0","0.0","70","42","   50","   50","15.0","21.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-17","7.38","0.00","0.0","0.0","75","50","  190","  170","13.0","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-18","8.50","0.00","0.0","0.0","75","57","  320","  330","15.0","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-19","8.72","5.63","0.0","0.0","62","50","   90","  120","13.0","19.9","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-20","7.38","0.16","0.0","0.0","74","54","  310","  310","14.1","18.1","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-21","8.05","0.00","0.0","0.0","77","51","  300","  300","18.1","23.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-22","5.82","0.00","0.0","0.0","71","52","   90",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-23","8.95","1.06","0.0","0.0","64","54","  160","  140","15.0","36.0","    1","    1","    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-24","5.82","0.00","0.0","0.0","74","55","  350","  330","10.1","17.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-25","10.51","0.00","0.0","0.0","81","56","  230","  210","21.0","30.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-26","11.86","0.00","0.0","0.0","72","51","  290","  300","18.1","32.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-27","5.82","0.00","0.0","0.0","74","44","  330","  350","12.1","16.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-28","5.59","0.00","0.0","0.0","79","53","  180",,"13.0",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-29","9.62","0.29","0.0","0.0","73","58","  210","  200","16.1","27.1","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-04-30","8.50","0.00","0.0","0.0","68","51","  300","  300","15.0","21.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-01","6.04","0.00","0.0","0.0","76","47","  300","  310","13.0","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-02","2.91","0.00","0.0","0.0","81","49","  200",,"10.1",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-03","6.04","0.00","0.0","0.0","83","58","  200","  210","14.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-04","5.14","0.00","0.0","0.0","84","62","  220","  200","12.1","16.1",,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-05","8.50","0.00","0.0",,"83","62","  320","  210","15.0","21.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-06","12.97","0.00","0.0","0.0","77","48","  330","  300","23.0","40.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-07","6.04","0.00","0.0","0.0","70","43","   10","  330","12.1","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-08","7.38","0.00","0.0","0.0","71","50","  350","  350","16.1","19.9",,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-09","7.61","0.00","0.0","0.0","67","43","  360","   40","14.1","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-10","5.82","0.00","0.0","0.0","75","47","  300",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-11","8.95","0.00","0.0","0.0","73","51","  320","   20","14.1","21.9",,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-12","5.82","0.00","0.0","0.0","77","49","  120",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-13","6.71","0.00","0.0","0.0","83","58","  180","  170","13.0","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-14","8.05","0.00","0.0","0.0","83","62","  140","  120","14.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-15","6.04","0.00","0.0","0.0","82","61","   90",,"12.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-16","6.04","0.00","0.0","0.0","85","65","  110",,"12.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-17","7.38","0.34","0.0","0.0","86","67","  180",,"14.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-18","6.93","0.18","0.0","0.0","80","66","  160",,"13.0",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-19","6.04","0.00","0.0","0.0","78","61","   20","   99","8.9","17.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-20","8.50","0.00","0.0","0.0","75","57","   40","   40","14.1","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-21","5.14","0.00","0.0","0.0","79","56","  180",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-22","6.04","0.11","0.0","0.0","85","65","  170",,"12.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-23","3.80","0.02","0.0","0.0","86","62","  190",,"8.1",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-24","6.26","0.06","0.0","0.0","89","67","  360",,"10.1",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-25","8.50","0.09","0.0","0.0","86","67","   70","   70","15.0","19.9",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-26","9.17","0.27","0.0","0.0","71","68","   70","   70","14.1","21.0","    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-27","7.38","1.27","0.0","0.0","78","68","   90",,"12.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-28","5.37","0.16","0.0","0.0","85","68","  230",,"12.1",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-29","4.92","0.00","0.0","0.0","85","69","  230",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-30","6.49","0.00","0.0","0.0","86","67","  290","  320","12.1","16.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-05-31","6.93","0.00","0.0","0.0","86","62","   10","  360","10.1","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-01","8.28","0.00","0.0","0.0","86","65","   90","  110","12.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-02","6.26","0.00","0.0","0.0","85","67","  190",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-03","4.25","0.00","0.0","0.0","87","67","  190",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-04","6.04","0.00","0.0","0.0","87","70","  300",,"10.1",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-05","6.04","0.00","0.0","0.0","90","70","  210",,"13.0",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-06","3.80","0.08","0.0","0.0","84","69","  170",,"16.1",,"    1",,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-07","8.28","0.00","0.0","0.0","83","70","   80","  130","13.0","17.0","    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-08","11.41","0.02","0.0","0.0","89","74","  160","  170","16.1","25.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-09","7.61","0.34","0.0","0.0","84","72","  170",,"10.1",,"    1",,"    1","    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-10","7.61","0.35","0.0","0.0","86","72","  200",,"12.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-11","7.38","0.00","0.0","0.0","85","66","  350","  330","14.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-12","7.61","0.00","0.0","0.0","88","62","   10",,"12.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-13","7.61","0.00","0.0","0.0","88","65","  100","  100","14.1","18.1",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-14","5.59","0.02","0.0","0.0","86","67","   20",,"12.1",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-15","6.26","0.02","0.0","0.0","84","63","   50","  340","12.1","32.0",,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-16","8.05","0.00","0.0","0.0","78","60","   60","   60","15.0","17.0",,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-17","3.80","0.00","0.0","0.0","78","58","  310",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-18","2.01","0.00","0.0","0.0","85","64","  280",,"6.9",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-19","3.58","0.00","0.0","0.0","89","67","  280",,"6.9",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-20","3.58","0.00","0.0","0.0","91","68","  120",,"8.9",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-21","4.25","0.34","0.0","0.0","92","70","  180","  190","14.1","30.0",,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-22","6.49","0.03","0.0","0.0","87","70","  240",,"10.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-23","9.62","0.46","0.0","0.0","87","68","  230","  230","14.1","18.1","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-24","6.26","0.63",,"0.0",,,"  170",,"12.1",,"    1",,"    1","    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-25","5.37","0.34","0.0","0.0","83","67","  220",,"10.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-26","4.47","0.01","0.0","0.0","85","67","  320",,"10.1",,,,,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-27","4.25","0.00","0.0","0.0","84","72","  250",,"10.1",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-28","6.49","0.18","0.0","0.0","90","70","  280","  280","12.1","18.1","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-29","4.03","0.00","0.0","0.0","90","70","  270",,"8.1",,"    1","    1",,
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-06-30","3.80","0.01","0.0","0.0","90","71","  300",,"8.1",,,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-07-01","5.37","0.00","0.0","0.0","83","70","  310","  310","13.0","17.0","    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-07-02","5.14","0.06","0.0","0.0","87","70","  270",,"12.1",,"    1",,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-07-03","4.92","0.00","0.0","0.0","92","73","  110","  110","8.9","21.0",,,"    1",
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-07-04","2.91","0.00","0.0","0.0","90","70","  150",,"8.9",,,,,"    1"
"USW00003892","AUBURN OPELIKA AIRPORT, AL US","2020-07-05","4.92","0.00","0.0","0.0","90","72","  180",,"13.0",,,,,
